Tasks, Init Task size, Init Task needed cycle breaking, Methods, min(excl. init), max(excl. init), avg(excl. init), Num methods needed cycle breaking, Num methods with > 1 subtasks, Recursive, TDG Height(root=0), find all prec eff(secs), find new orderings(secs), break cycles and topSort(secs), Preprocessing time, Grounding time, Problem Name
396, 6, true, 424, 1, 5, 2.24292, 178, 275, false, 5, 0.000348, 0.000962, 0.003293, 0.004818, .067524255, Rover/pfile12
2258, 17, true, 2589, 1, 5, 2.18347, 1371, 1831, false, 5, 0.003501, 0.012124, 0.015904, 0.034877, .130173754, Rover/pfile19
1484, 11, true, 1866, 1, 5, 2.20043, 664, 1100, false, 5, 0.002099, 0.009535, 0.009573, 0.022082, .088414462, Rover/pfile18
460, 11, true, 441, 1, 5, 2.322, 247, 331, false, 5, 0.000321, 0.000879, 0.003148, 0.005003, .021954589, Rover/pfile10
65, 11, true, 50, 1, 5, 2.3, 24, 37, false, 3, 2.2e-05, 5.6e-05, 0.0006, 0.001021, .009552643, Rover/pfile01
59, 12, true, 46, 1, 5, 2.30435, 19, 32, false, 3, 2.2e-05, 5.4e-05, 0.000721, 0.001276, .009638294, Rover/pfile02
1202, 25, true, 1377, 1, 5, 2.2244, 610, 912, false, 5, 0.001397, 0.005429, 0.020649, 0.034034, .066207648, Rover/pfile17
382, 8, true, 359, 1, 5, 2.37047, 184, 264, false, 5, 0.000309, 0.000883, 0.003304, 0.004839, .027610596, Rover/pfile08
561, 17, true, 595, 1, 5, 2.27731, 282, 416, false, 5, 0.000452, 0.00148, 0.0053, 0.00887, .035229082, Rover/pfile14
626, 11, true, 662, 1, 5, 2.30363, 296, 446, false, 5, 0.000484, 0.00339, 0.004243, 0.008842, .035125578, Rover/pfile16
89, 8, true, 71, 1, 5, 2.43662, 28, 50, false, 4, 3.4e-05, 8.8e-05, 0.000624, 0.000923, .011242030, Rover/pfile03
595, 19, true, 678, 1, 5, 2.19174, 280, 427, false, 6, 0.000479, 0.00171, 0.005548, 0.009603, .032819330, Rover/pfile15
494, 21, true, 513, 1, 5, 2.30019, 238, 354, false, 5, 0.000358, 0.001381, 0.006856, 0.01247, .025439498, Rover/pfile11
245, 33, true, 225, 1, 5, 2.21333, 132, 174, false, 4, 0.000127, 0.000522, 0.011318, 0.022581, .016004115, Rover/pfile06
152, 19, true, 124, 1, 5, 2.24194, 80, 102, false, 5, 0.000133, 0.000328, 0.003186, 0.006111, .028322019, Rover/pfile05
414, 17, true, 420, 1, 5, 2.31667, 196, 295, false, 5, 0.000282, 0.000954, 0.003806, 0.006215, .026809540, Rover/pfile09
